U+00A1;¡;Inverted exclamation mark
U+21E1;⇡;Upwards Dashed Arrow
U+21FD;⇽;Leftwards Open-Headed Arrow
U+21AA;↪;Rightwards Arrow With Hook
U+21C6;⇆;Leftwards Arrow Over Rightwards Arrow
U+21E2;⇢;Rightwards Dashed Arrow
U+21FE;⇾;Rightwards Open-Headed Arrow
U+21AB;↫;Leftwards Arrow With Loop
U+21C7;⇇;Leftwards Paired Arrows
U+21E3;⇣;Downwards Dashed Arrow
U+21FF;⇿;Left Right Open-Headed Arrow
U+27F0;⟰;Upwards Quadruple Arrow
U+27F1;⟱;Downwards Quadruple Arrow
U+27F2;⟲;Anticlockwise Gapped Circle Arrow
U+27F3;⟳;Clockwise Gapped Circle Arrow
U+27F4;⟴;Right Arrow with Circled Plus
U+27F5;⟵;Long Leftwards Arrow
U+27F6;⟶;Long Rightwards Arrow
U+27F7;⟷;Long Left Right Arrow
U+27F8;⟸;Long Leftwards Double Arrow
U+27F9;⟹;Long Rightwards Double Arrow
U+27FA;⟺;Long Left Right Double Arrow
U+27FB;⟻;Long Leftwards Arrow from Bar
U+27FC;⟼;Long Rightwards Arrow from Bar
U+27FD;⟽;Long Leftwards Double Arrow from Bar
U+27FE;⟾;Long Rightwards Double Arrow from Bar
U+27FF;⟿;Long Rightwards Squiggle Arrow
U+2700;✀;Black safety scissors
U+2701;✁;Upper blade scissors
U+2702;✂;Black scissors
U+2703;✃;Lower blade scissors
U+2704;✄;White scissors
U+2706;✆;Telephone location sign
U+2707;✇;Tape drive
U+2708;✈;Airplane
U+2709;✉;Envelope
U+270C;✌;Victory hand
U+270D;✍;Writing hand
U+270E;✎;Lower right pencil
U+270F;✏;Pencil
U+2710;✐;Upper right pencil
U+2711;✑;White nib
U+2712;✒;Black nib
U+2713;✓;Check mark
U+2714;✔;Heavy check mark
U+2715;✕;Multiplication X
U+2716;✖;Heavy multiplication X
U+2717;✗;Ballot X
U+2718;✘;Heavy ballot X
U+2719;✙;Outlined Greek cross
U+271A;✚;Heavy Greek cross
U+271B;✛;Open center cross
U+271C;✜;Heavy open center cross
U+271D;✝;Latin cross
U+271E;✞;Shadowed white Latin cross
U+271F;✟;Outlined Latin cross
U+2720;✠;Maltese cross
U+2721;✡;Star of David
U+2722;✢;Four teardrop-spoked asterisk
U+2723;✣;Four balloon-spoked asterisk
U+2724;✤;Heavy four balloon-spoked asterisk
U+2725;✥;Four club-spoked asterisk
U+2726;✦;Black four-pointed star
U+2727;✧;White four-pointed star
U+2729;✩;Stress outlined white star
U+272A;✪;Circled white star
U+272B;✫;Open center black star
U+272C;✬;Black center white star
U+272D;✭;Outlined black star
U+272E;✮;Heavy outlined black star
U+272F;✯;Pinwheel star
U+2730;✰;Shadowed white star
U+2731;✱;Heavy asterisk
U+2732;✲;Open center asterisk
U+2733;✳;Eight spoked asterisk
U+2734;✴;Eight pointed black star
U+2735;✵;Eight pointed pinwheel star
U+2736;✶;Six pointed black star
U+2737;✷;Eight pointed rectilinear black star
U+2738;✸;Heavy eight pointed rectilinear black star
U+2739;✹;Twelve pointed black star
U+273A;✺;Sixteen pointed asterisk
U+273B;✻;Teardrop spoked asterisk
U+273C;✼;Open center teardrop spoked asterisk
U+273D;✽;Heavy teardrop spoked asterisk
U+273E;✾;Six petalled black and white florette
U+273F;✿;Black florette
U+2740;❀;White florette
U+2741;❁;Eight petalled outlined black florette
U+2742;❂;Circled open center eight pointed star
U+2743;❃;Heavy teardrop spoked pinwheel asterisk
U+2744;❄;Snowflake
U+2745;❅;Tight trifoliate snowflake
U+2746;❆;Heavy chevron snowflake
U+2747;❇;Sparkle
U+2748;❈;Heavy sparkle
U+2749;❉;Balloon spoked asterisk
U+274A;❊;Eight teardrop spoked propeller asterisk
U+274B;❋;Heavy eight teardrop spoked propeller asterisk
U+274D;❍;Shadowed white circle
U+274F;❏;Lower right drop-shadowed white square
U+2750;❐;Upper right drop-shadowed white square
U+2751;❑;Lower right shadowed white square
U+2752;❒;Upper right shadowed white square
U+2756;❖;Black diamond minus white X
U+2758;❘;Light vertical bar
U+2759;❙;Medium vertical bar
U+275A;❚;Heavy vertical bar
U+275B;❛;Heavy single turned comma quotation mark ornament
U+275C;❜;Heavy single comma quotation mark ornament
U+275D;❝;Heavy double turned comma quotation mark ornament
U+275E;❞;Heavy double comma quotation mark ornament
U+275F;❜;Heavy low single comma quotation mark ornament
U+2760;❞;Heavy low double comma quotation mark ornament
U+2761;❡;Curved stem paragraph sign ornament
U+2762;❢;Heavy exclamation mark ornament
U+2763;❣;Heavy heart exclamation mark ornament
U+2764;❤;Heavy black heart
U+2765;❥;Rotated heavy black heart bullet
U+2766;❦;Floral heart
U+2767;❧;Rotated floral heart bullet
U+2768;❨;Medium left parenthesis ornament
U+2769;❩;Medium right parenthesis ornament
U+276A;❪;Medium flattened left parenthesis ornament
U+276B;❫;Medium flattened right parenthesis ornament
U+276C;❬;Medium left-pointing angle bracket ornament
U+276D;❭;Medium right-pointing angle bracket ornament
U+276E;❮;Heavy left-pointing angle quotation mark ornament
U+276F;❯;Heavy right-pointing angle quotation mark ornament
U+2770;❰;Heavy left-pointing angle bracket ornament
U+2771;❱;Heavy right-pointing angle bracket ornament
U+2772;❲;Light left tortoise shell bracket ornament
U+2773;❳;Light right tortoise shell bracket ornament
U+2774;❴;Medium left curly bracket ornament
U+2775;❵;Medium left curly bracket ornament
U+2776;❶;Dingbat negative circled digit one
U+2777;❷;Dingbat negative circled digit two
U+2778;❸;Dingbat negative circled digit three
U+2779;❹;Dingbat negative circled digit four
U+277A;❺;Dingbat negative circled digit five
U+277B;❻;Dingbat negative circled digit six
U+277C;❼;Dingbat negative circled digit seven
U+277D;❽;Dingbat negative circled digit eight
U+277E;❾;Dingbat negative circled digit nine
U+277F;❿;Dingbat negative circled digit ten
U+2780;➀;Dingbat circled sans-serif digit one
U+2781;➁;Dingbat circled sans-serif digit two
U+2782;➂;Dingbat circled sans-serif digit three
U+2783;➃;Dingbat circled sans-serif digit four
U+2784;➄;Dingbat circled sans-serif digit five
U+2785;➅;Dingbat circled sans-serif digit six
U+2786;➆;Dingbat circled sans-serif digit seven
U+2787;➇;Dingbat circled sans-serif digit eight
U+2788;➈;Dingbat circled sans-serif digit nine
U+2789;➉;Dingbat circled sans-serif digit ten
U+278A;➊;Dingbat negative circled sans-serif digit one
U+278B;➋;Dingbat negative circled sans-serif digit two
U+278C;➌;Dingbat negative circled sans-serif digit three
U+278D;➍;Dingbat negative circled sans-serif digit four
U+278E;➎;Dingbat negative circled sans-serif digit five
U+278F;➏;Dingbat negative circled sans-serif digit six
U+2790;➐;Dingbat negative circled sans-serif digit seven
U+2791;➑;Dingbat negative circled sans-serif digit eight
U+2792;➒;Dingbat negative circled sans-serif digit nine
U+2793;➓;Dingbat negative circled sans-serif digit ten
U+2794;➔;Heavy wide-headed rightward arrow
U+2798;➘;Heavy south east arrow
U+2799;➙;Heavy rightward arrow
U+279A;➚;Heavy north east arrow
U+279B;➛;Drafting point rightward arrow
U+279C;➜;Heavy round-tipped rightward arrow
U+279D;➝;Triangle-headed rightward arrow
U+279E;➞;Heavy triangle-headed rightward arrow
U+279F;➟;Dashed triangle-headed rightward arrow
U+27A0;➠;Heavy dashed triangle-headed rightward arrow
U+27A1;➡;Black rightward arrow
U+27A2;➢;Three-D top-lighted rightward arrowhead
U+27A3;➣;Three-D bottom-lighted rightward arrowhead
U+27A4;➤;Black rightward arrowhead
U+27A5;➥;Heavy black curved downward and rightward arrow
U+27A6;➦;Heavy black curved upward and rightward arrow
U+27A7;➧;Squat black rightward arrow
U+27A8;➨;Heavy concave-pointed black rightward arrow
U+27A9;➩;Right-shaded white rightward arrow
U+27AA;➪;Left-shaded white rightward arrow
U+27AB;➫;Back-tilted shadowed white rightward arrow
U+27AC;➬;Front-tilted shadowed white rightward arrow
U+27AD;➭;Heavy lower right-shadowed white rightward arrow
U+27AE;➮;Heavy upper right-shadowed white rightward arrow
U+27AF;➯;Notched lower right-shadowed white rightward arrow
U+27B1;➱;Notched upper right-shadowed white rightward arrow
U+27B2;➲;Circled heavy white rightward arrow
U+27B3;➳;White-feathered rightward arrow
U+27B4;➴;Black-feathered south east arrow
U+27B5;➵;Black-feathered rightward arrow
U+27B6;➶;Black-feathered north east arrow
U+27B7;➷;Heavy black-feathered south east arrow
U+27B8;➸;Heavy black-feathered rightward arrow
U+27B9;➹;Heavy black-feathered north east arrow
U+27BA;➺;Teardrop-barbed rightward arrow
U+27BB;➻;Heavy teardrop-shanked rightward arrow
U+27BC;➼;Wedge-tailed rightward arrow
U+27BD;➽;Heavy wedge-tailed rightward arrow
U+27BE;➾;Open-outlined rightward arrow
U+2200;∀;For All
U+2201;∁;Complement
U+2202;∂;Partial Differential
U+2203;∃;There Exists
U+2204;∄;There Does Not Exist
U+2205;∅;Empty Set
U+2206;∆;Increment
U+2207;∇;Nabla
U+2208;∈;Element Of
U+2209;∉;Not An Element Of
U+220A;∊;Small Element Of
U+220B;∋;Contains As Member
U+220C;∌;Does Not Contain As Member
U+220D;∍;Small Contains As Member
U+220E;∎;End Of Proof
U+220F;∏;N-ary Product
U+2210;∐;N-ary Coproduct
U+2211;∑;N-ary Summation
U+2212;−;Minus Sign
U+2213;∓;Minus-or-plus Sign
U+2214;∔;Dot Plus
U+2215;∕;Division Slash
U+2216;∖;Set Minus
U+2217;∗;Asterisk Operator
U+2218;∘;Ring Operator
U+2219;∙;Bullet Operator
U+221A;√;Square Root
U+221B;∛;Cube Root
U+221C;∜;Fourth Root
U+221D;∝;Proportional To
U+221E;∞;Infinity
U+221F;∟;Right Angle
U+2220;∠;Angle
U+2221;∡;Measured Angle
U+2222;∢;Spherical Angle
U+2223;∣;Divides
U+2224;∤;Does Not Divide
U+2225;∥;Parallel To
U+2226;∦;Not Parallel To
U+2227;∧;Logical And
U+2228;∨;Logical Or
U+2229;∩;Intersection
U+222A;∪;Union
U+222B;∫;Integral
U+222C;∬;Double Integral
U+222D;∭;Triple Integral
U+222E;∮;Contour Integral
U+222F;∯;Surface Integral
U+2230;∰;Volume Integral
U+2231;∱;Clockwise Integral
U+2232;∲;Clockwise Contour Integral
U+2233;∳;Anticlockwise Contour Integral
U+2234;∴;Therefore
U+2235;∵;Because
U+2236;∶;Ratio
U+2237;∷;Proportion
U+2238;∸;Dot Minus
U+2239;∹;Excess
U+223A;∺;Geometric Proportion
U+223B;∻;Homothetic
U+223C;∼;Tilde Operator
U+223D;∽;Reversed Tilde
U+223E;∾;Inverted Lazy S
U+223F;∿;Sine Wave
U+2240;≀;Wreath Product
U+2241;≁;Not Tilde
U+2242;≂;Minus Tilde
U+2243;≃;Asymptotically Equal To
U+2244;≄;Not Asymptotically Equal To
U+2245;≅;Approximately Equal To
U+2246;≆;Approximately But Not Actually Equal To
U+2247;≇;Neither Approximately Nor Actually Equal To
U+2248;≈;Almost Equal To
U+2249;≉;Not Almost Equal To
U+224A;≊;Almost Equal Or Equal To
U+224B;≋;Triple Tilde
U+224C;≌;All Equal To
U+224D;≍;Equivalent To
U+224E;≎;Geometrically Equivalent To
U+224F;≏;Difference Between
U+2250;≐;Approaches The Limit
U+2251;≑;Geometrically Equal To
U+2252;≒;Approximately Equal To Or The Image Of
U+2253;≓;Image Of Or Approximately Equal To
U+2254;≔;Colon Equals
U+2255;≕;Equals Colon
U+2256;≖;Ring In Equal To
U+2257;≗;Ring Equal To
U+2258;≘;Corresponds To
U+2259;≙;Estimates
U+225A;≚;Equiangular To
U+225B;≛;Star Equals
U+225C;≜;Delta Equal To
U+225D;≝;Equal To By Definition
U+225E;≞;Measured By
U+225F;≟;Questioned Equal To
U+2260;≠;Not Equal To
U+2261;≡;Identical To
U+2262;≢;Not Identical To
U+2263;≣;Strictly Equivalent To
U+2264;≤;Less-than Or Equal To
U+2265;≥;Greater-than Or Equal To
U+2266;≦;Less-than Over Equal To
U+2267;≧;Greater-than Over Equal To
U+2268;≨;Less-than But Not Equal To
U+2269;≩;Greater-than But Not Equal To
U+226A;≪;Much Less-than
U+226B;≫;Much Greater-than
U+226C;≬;Between
U+226D;≭;Not Equivalent To
U+226E;≮;Not Less-than
U+226F;≯;Not Greater-than
U+2270;≰;Neither Less-than Nor Equal To
U+2271;≱;Neither Greater-than Nor Equal To
U+2272;≲;Less-than Or Equivalent To
U+2273;≳;Greater-than Or Equivalent To
U+2274;≴;Neither Less-than Nor Equivalent To
U+2275;≵;Neither Greater-than Nor Equivalent To
U+2276;≶;Less-than Or Greater-than
U+2277;≷;Greater-than Or Less-than
U+2278;≸;Neither Less-than Nor Greater-than
U+2279;≹;Neither Greater-than Nor Less-than
U+227A;≺;Precedes
U+227B;≻;Succeeds
U+227C;≼;Precedes Or Equal To
U+227D;≽;Succeeds Or Equal To
U+227E;≾;Precedes Or Equivalent To
U+227F;≿;Succeeds Or Equivalent To
U+2280;⊀;Does Not Precede
U+2281;⊁;Does Not Succeed
U+2282;⊂;Subset Of
U+2283;⊃;Superset Of
U+2284;⊄;Not A Subset Of
U+2285;⊅;Not A Superset Of
U+2286;⊆;Subset Of Or Equal To
U+2287;⊇;Superset Of Or Equal To
U+2288;⊈;Neither A Subset Of Nor Equal To
U+2289;⊉;Neither A Superset Of Nor Equal To
U+228A;⊊;Subset Of With Not Equal To
U+228B;⊋;Superset Of With Not Equal To
U+228C;⊌;Multiset
U+228D;⊍;Multiset Multiplication
U+228E;⊎;Multiset Union
U+228F;⊏;Square Image Of
U+2290;⊐;Square Original Of
U+2291;⊑;Square Image Of Or Equal To
U+2292;⊒;Square Original Of Or Equal To
U+2293;⊓;Square Cap
U+2294;⊔;Square Cup
U+2295;⊕;Circled Plus
U+2296;⊖;Circled Minus
U+2297;⊗;Circled Times
U+2298;⊘;Circled Division Slash
U+2299;⊙;Circled Dot Operator
U+229A;⊚;Circled Ring Operator
U+229B;⊛;Circled Asterisk Operator
U+229C;⊜;Circled Equals
U+229D;⊝;Circled Dash
U+229E;⊞;Squared Plus
U+229F;⊟;Squared Minus
U+22A0;⊠;Squared Times
U+22A1;⊡;Squared Dot Operator
U+22A2;⊢;Right Tack
U+22A3;⊣;Left Tack
U+22A4;⊤;Down Tack
U+22A5;⊥;Up Tack
U+22A6;⊦;Assertion
U+22A7;⊧;Models
U+22A8;⊨;True
U+22A9;⊩;Forces
U+22AA;⊪;Triple Vertical Bar Right Turnstile
U+22AB;⊫;Double Vertical Bar Double Right Turnstile
U+22AC;⊬;Does Not Prove
U+22AD;⊭;Not True
U+22AE;⊮;Does Not Force
U+22AF;⊯;Negated Double Vertical Bar Double Right Turnstile
U+22B0;⊰;Precedes Under Relation
U+22B1;⊱;Succeeds Under Relation
U+22B2;⊲;Normal Subgroup Of
U+22B3;⊳;Contains As Normal Subgroup
U+22B4;⊴;Normal Subgroup Of Or Equal To
U+22B5;⊵;Contains As Normal Subgroup Or Equal To
U+22B6;⊶;Original Of
U+22B7;⊷;Image Of
U+22B8;⊸;Multimap
U+22B9;⊹;Hermitian Conjugate Matrix
U+22BA;⊺;Intercalate
U+22BB;⊻;Xor
U+22BC;⊼;Nand
U+22BD;⊽;Nor
U+22BE;⊾;Right Angle With Arc
U+22BF;⊿;Right Triangle
U+22C0;⋀;N-ary Logical And
